客场队名,主场队名,客场胜,客场负,主场胜,主场负
18,58,17,29,8,37
18,142,23,40,50,12
18,149,5,19,16,7
18,163,3,19,12,11
19,12,43,38,57,24
20,34,26,29,23,30
20,39,34,36,13,56
20,67,0,0,0,0
20,144,18,22,33,6
21,68,11,10,15,9
21,68,14,19,24,14
21,96,13,16,7,22
21,145,16,21,14,25
21,194,35,42,43,33
22,41,12,5,8,9
22,83,23,14,30,9
23,42,19,13,14,17
23,49,4,6,6,1
23,70,2,2,1,1
23,84,2,2,2,2
23,119,10,10,16,4
23,147,47,27,49,25
24,71,28,6,18,17
24,99,52,20,36,35
24,120,18,2,14,4
24,148,15,1,12,5
24,204,17,2,15,3
25,32,12,21,17,16
25,100,1,3,3,1
25,107,8,18,11,15
26,59,39,36,9,67
26,66,42,36,52,26
26,178,34,30,33,32
27,6,1,1,1,0
27,13,37,39,48,27
27,60,40,40,28,52
27,60,4,4,0,7
27,88,13,12,8,17
27,95,39,40,28,51
27,109,20,18,14,23
27,130,9,9,9,10
27,137,22,20,28,16
27,172,21,19,16,24
27,186,30,29,42,18
27,193,37,37,40,34
27,207,31,29,45,13
28,54,14,22,15,23
28,68,3,5,6,2
28,96,23,38,16,46
28,159,19,27,22,24
29,48,22,26,24,25
29,83,5,9,11,4
29,90,14,22,23,14
29,132,2,2,2,3
30,2,6,5,6,6
30,23,34,33,42,26
30,42,13,11,13,12
30,56,34,35,27,43
30,105,25,21,30,18
30,147,30,28,43,19
30,161,19,18,13,27
31,57,10,45,15,41
31,99,15,64,41,38
31,148,13,57,49,21
32,4,31,24,35,21
32,25,34,30,29,34
32,37,34,34,27,39
32,86,22,22,20,24
33,178,12,19,17,13
34,27,40,38,38,40
34,74,20,18,22,17
34,74,5,4,8,2
34,137,21,26,30,19
34,193,32,33,36,30
35,42,45,32,40,37
36,31,5,14,4,15
36,64,0,0,0,0
36,99,2,2,1,3
37,58,5,8,0,14
37,65,10,13,19,6
37,72,2,2,2,2
37,72,35,40,56,19
37,142,4,3,5,2
38,33,0,6,3,3
38,45,2,10,6,5
38,52,21,54,30,46
39,53,3,4,2,4
39,88,9,38,18,30
39,130,10,50,25,35
40,14,24,5,10,21
40,47,19,4,16,9
40,61,9,3,4,9
40,159,35,10,20,24
41,55,1,1,1,1
42,2,3,3,4,2
42,56,10,8,10,8
42,154,28,25,25,29
43,3,13,18,12,18
43,24,22,41,46,17
43,31,18,34,9,41
43,64,0,0,0,0
43,71,23,54,34,43
43,92,14,27,10,30
43,99,14,29,20,20
43,106,13,21,16,17
43,127,13,24,27,9
43,197,22,44,26,39
44,114,16,27,7,37
44,191,4,6,10,2
45,5,19,16,21,12
45,26,1,2,1,3
45,73,0,0,0,0
45,73,7,6,9,6
45,94,27,21,20,25
45,108,32,24,22,33
45,150,43,30,45,27
45,178,22,19,23,19
46,13,1,2,2,1
46,102,2,1,1,2
46,130,33,19,23,30
46,137,34,19,34,20
46,158,39,22,19,42
47,28,3,3,2,5
47,103,3,7,5,5
47,159,20,14,14,19
47,166,3,8,3,6
48,1,29,27,43,14
48,15,3,4,2,5
48,188,6,4,3,6
49,2,14,4,10,8
49,56,26,14,17,25
49,56,2,0,1,1
49,112,31,16,18,28
50,36,35,45,44,36
50,57,13,22,12,24
50,120,20,30,40,12
50,162,30,42,43,29
50,197,20,33,23,29
50,204,9,21,25,7
51,32,3,8,5,5
51,37,2,3,2,2
51,93,10,42,16,39
52,5,28,43,36,33
52,12,2,2,3,1
52,101,1,1,2,0
52,101,28,41,33,35
52,136,10,12,9,10
52,157,27,40,14,52
52,171,10,13,8,15
53,200,16,15,13,21
54,82,1,3,3,1
54,89,17,23,26,15
54,96,3,10,4,8
54,110,25,28,13,40
54,131,34,32,34,33
54,166,35,33,16,50
55,1,0,0,0,0
55,22,25,17,24,16
55,41,2,2,2,2
55,48,24,17,18,22
55,83,29,23,37,14
55,132,1,1,0,2
55,160,0,1,0,1
56,105,26,41,47,22
56,126,14,16,14,14
56,196,1,2,2,1
57,24,6,8,11,1
57,43,14,31,15,32
57,85,18,63,54,27
58,11,10,38,29,20
58,11,18,55,47,27
58,25,0,0,0,0
58,32,12,44,31,25
58,37,2,19,8,12
58,86,3,23,13,15
58,107,17,54,27,44
58,184,0,8,7,1
59,73,1,25,14,12
59,87,8,54,36,26
59,143,9,64,65,7
59,150,3,32,21,13
60,20,18,32,23,28
60,34,12,26,20,19
60,74,15,26,25,18
60,74,1,7,6,2
60,186,1,8,5,4
61,14,18,48,23,44
61,40,12,23,27,7
61,54,21,57,40,39
61,89,1,7,5,2
61,96,13,26,10,27
61,110,13,34,10,36
61,173,10,20,24,5
62,1,16,32,39,10
62,1,4,8,11,2
62,97,8,17,4,20
62,118,20,36,40,15
63,9,23,34,19,38
63,189,3,12,10,2
64,17,46,33,29,51
64,36,1,1,1,1
64,36,22,21,20,22
64,36,3,2,2,3
64,43,19,17,13,26
64,43,39,31,23,47
64,50,48,33,36,45
64,71,1,0,0,1
64,134,25,22,16,31
64,176,9,14,15,10
64,183,3,4,4,3
65,32,26,14,21,19
65,72,12,2,7,5
65,100,0,2,2,0
65,128,24,7,25,7
65,198,37,18,28,27
66,33,44,21,29,38
66,45,1,0,1,0
66,87,2,1,1,2
67,13,0,1,1,0
68,0,1,0,0,1
68,0,37,27,45,18
68,7,41,32,14,57
68,61,10,7,6,10
68,173,30,17,30,15
69,1,19,12,25,8
69,22,7,3,6,3
69,55,31,22,28,23
69,104,24,17,23,19
70,2,21,15,20,15
70,23,39,31,43,27
70,49,25,18,26,15
70,175,27,22,22,28
70,196,19,10,7,23
71,36,18,16,12,21
71,92,17,13,9,20
71,162,26,31,34,24
72,11,17,7,14,9
72,32,43,12,31,23
72,37,3,2,2,3
72,100,3,2,2,3
72,149,25,8,23,11
72,163,50,14,34,32
72,184,18,7,19,6
73,26,27,20,23,22
73,45,2,1,1,2
73,87,27,21,26,21
73,143,33,27,53,5
74,34,11,12,11,9
74,116,15,15,9,21
74,200,19,16,14,22
82,40,0,0,0,0
82,61,40,15,15,40
82,68,56,24,44,36
82,96,51,23,18,55
83,22,22,7,17,10
83,29,16,5,9,11
83,29,21,7,12,15
83,97,19,7,5,21
84,9,52,14,22,45
84,23,23,9,20,14
84,154,25,12,17,21
84,161,7,3,4,6
84,175,16,6,12,13
84,203,1,1,1,1
85,31,49,22,14,58
85,36,27,9,14,21
85,43,46,19,22,46
85,64,12,3,6,8
85,141,36,14,31,21
85,176,37,14,32,22
86,18,21,26,18,30
86,51,22,30,10,43
86,198,25,31,30,27
86,205,21,28,31,18
87,45,32,25,34,25
87,45,48,33,47,34
87,66,3,3,3,3
88,13,29,34,42,19
88,20,35,38,34,40
88,116,21,30,19,32
89,14,14,4,6,13
89,40,26,14,30,9
89,68,16,10,17,12
89,68,1,1,1,1
89,96,31,19,13,35
89,110,25,14,10,30
89,124,15,6,10,11
89,138,41,24,28,36
89,152,42,25,47,20
89,180,28,15,20,24
90,22,1,0,0,1
90,41,36,25,36,26
90,48,32,18,25,25
90,104,36,27,35,28
90,202,28,15,27,13
91,56,15,41,22,32
91,98,13,23,6,28
91,161,7,12,7,14
91,182,19,55,40,33
92,85,4,7,9,3
92,148,10,23,23,13
92,155,19,51,22,46
93,65,10,16,18,6
93,177,21,48,43,25
94,33,20,23,19,27
94,73,20,19,24,17
94,87,29,42,41,30
94,185,1,3,1,3
94,192,20,22,25,20
95,13,27,50,49,27
95,27,15,19,16,18
95,130,16,24,18,23
95,158,16,22,14,26
95,207,6,11,14,3
96,7,14,38,9,45
96,21,8,22,13,17
96,124,17,51,40,30
96,173,13,33,31,15
97,8,18,46,21,43
97,55,1,9,7,3
97,69,0,1,1,0
97,146,7,22,17,9
97,160,7,24,13,19
97,181,3,15,10,8
98,9,0,0,0,0
98,168,7,28,14,24
98,182,3,15,9,11
98,203,11,34,37,11
99,10,3,7,4,7
99,17,0,0,0,0
99,43,11,13,12,15
99,92,33,31,19,47
99,169,35,31,23,44
100,4,26,12,26,13
100,86,0,0,0,0
100,114,33,24,12,43
101,12,6,8,13,4
101,52,22,27,23,31
101,59,26,30,8,49
101,59,32,35,9,58
101,150,37,39,47,28
102,27,12,14,14,14
102,46,0,1,1,0
102,46,19,18,23,15
102,74,3,2,2,3
102,172,39,24,25,39
103,124,34,25,32,25
103,152,46,29,55,20
103,159,5,4,5,4
103,201,23,16,34,6
104,29,8,5,4,8
104,153,0,0,0,0
105,49,10,10,14,5
105,147,15,13,21,6
105,161,42,22,22,41
105,189,17,14,18,8
105,203,49,23,53,17
106,10,11,6,5,12
106,17,24,24,20,29
106,43,11,7,8,12
106,50,24,23,19,30
106,141,34,44,48,29
106,176,6,6,9,5
107,86,26,43,31,36
107,114,14,20,5,27
107,135,28,46,33,41
107,142,30,51,66,15
108,199,32,44,27,47
108,206,12,17,25,6
109,39,8,13,5,15
109,60,7,13,4,16
109,123,14,22,21,16
109,158,16,23,15,30
109,200,36,40,33,44
110,7,6,24,8,21
110,14,14,47,22,40
110,82,1,2,3,1
110,117,17,55,46,24
110,131,10,35,27,19
111,22,25,36,38,22
111,153,22,22,27,16
111,167,22,23,15,29
112,203,30,51,58,23
113,17,9,11,10,11
113,57,16,17,12,21
113,134,26,28,19,35
113,183,34,32,45,22
114,58,8,37,9,37
114,149,14,47,40,23
114,149,4,11,11,5
114,198,2,5,4,3
115,38,10,16,7,19
115,94,5,6,5,6
115,157,0,0,0,0
115,199,13,29,13,27
116,27,28,44,37,36
116,53,5,13,9,9
116,137,24,36,37,23
116,137,31,47,48,30
116,165,16,28,15,29
116,186,23,35,41,18
117,7,41,23,12,52
117,21,10,5,7,6
117,103,50,26,47,29
118,83,1,3,3,1
118,174,2,0,0,2
119,70,20,4,15,7
119,147,42,16,43,18
119,161,38,12,17,34
119,182,39,14,29,26
119,189,50,18,45,21
119,196,6,3,3,3
120,50,22,5,9,18
120,162,46,15,35,25
120,183,55,19,49,25
120,190,28,9,17,19
120,197,13,4,9,9
120,204,0,1,1,0
121,86,20,20,18,22
121,114,9,13,5,16
121,191,23,23,34,12
122,94,1,0,0,1
122,143,3,1,1,3
122,157,19,9,5,23
122,171,41,18,24,33
123,13,28,19,31,14
123,39,37,29,12,53
123,116,24,16,13,26
123,137,25,19,29,16
123,144,25,18,35,6
123,186,0,1,1,0
124,28,3,1,1,2
124,54,8,8,4,13
124,145,1,0,0,0
124,187,6,5,4,7
125,146,3,0,1,2
125,160,5,1,2,4
125,174,15,12,16,11
125,181,7,4,4,7
125,195,7,5,3,9
126,98,6,8,0,12
126,140,20,15,22,12
126,189,16,15,20,9
127,50,34,14,19,29
127,120,31,10,31,10
127,134,17,4,4,18
127,204,0,1,1,0
128,25,17,6,7,16
128,51,15,4,4,17
128,135,36,17,19,34
128,184,22,6,19,7
128,191,44,23,48,21
128,198,21,6,13,12
129,38,17,24,11,28
129,94,11,16,14,11
129,108,14,21,12,22
129,115,8,12,8,10
129,143,41,36,68,8
129,206,4,7,7,2
130,6,11,10,11,8
131,21,31,27,26,30
131,68,5,3,6,3
131,103,0,0,0,0
131,145,12,5,3,14
131,180,24,13,16,20
131,194,18,8,15,10
132,55,19,19,23,17
132,125,32,30,28,34
132,188,31,29,34,24
132,202,29,27,39,14
133,9,32,28,20,40
133,16,19,19,14,23
133,168,28,23,17,33
133,175,34,35,33,36
133,189,43,38,55,26
134,24,21,37,45,13
134,71,7,21,14,12
134,127,19,34,36,18
134,190,8,22,11,15
135,44,24,35,23,35
135,100,6,17,16,6
135,170,34,42,26,49
135,184,38,43,55,26
136,66,28,31,39,19
136,94,4,4,4,5
136,129,17,20,16,24
136,129,27,27,28,27
136,143,12,14,26,1
136,178,25,25,29,25
136,192,28,32,36,24
136,199,26,25,19,32
137,13,43,25,44,22
137,74,32,19,30,21
137,88,6,4,2,5
137,123,37,22,34,25
137,186,40,24,44,20
137,207,1,2,4,0
138,28,6,3,4,5
138,96,26,33,15,44
138,145,15,21,11,24
138,166,30,36,15,49
138,194,13,21,21,14
138,201,8,13,17,3
139,8,4,8,6,6
139,146,22,36,36,23
139,181,19,25,25,22
140,105,3,1,1,3
140,126,46,35,33,48
141,64,36,23,32,26
141,176,9,6,9,6
142,128,2,0,1,1
142,198,3,0,0,3
143,101,44,4,21,25
143,129,2,0,0,2
143,136,18,0,8,7
143,164,47,4,14,39
143,206,62,6,58,10
144,34,10,2,5,6
144,74,51,11,34,28
144,137,2,0,0,2
144,193,44,8,33,22
144,207,2,0,0,2
145,28,20,34,20,33
145,61,20,33,14,40
145,110,20,35,13,42
145,117,21,35,35,19
145,124,16,25,23,20
145,166,21,39,14,43
145,166,9,22,5,22
145,194,1,6,6,0
145,201,1,7,5,1
146,48,40,25,34,30
146,90,14,7,15,9
146,97,13,7,4,19
146,167,20,12,12,22
146,167,32,22,19,35
146,195,26,20,11,35
146,202,0,0,0,0
146,202,1,0,1,0
147,91,34,16,14,34
147,126,3,2,2,2
147,189,28,9,24,11
147,196,52,26,27,52
148,24,28,13,31,7
148,120,0,0,0,0
148,141,20,9,16,13
148,141,2,1,1,2
148,176,22,12,19,13
149,11,33,16,30,20
149,44,48,25,32,40
149,72,19,9,20,7
149,156,51,26,20,55
149,177,33,19,35,18
149,191,7,4,11,2
149,198,32,14,24,22
150,19,14,10,14,11
150,26,28,16,23,21
150,87,33,17,29,22
150,129,2,1,1,2
150,178,5,2,3,4
150,192,43,24,39,30
151,20,14,2,7,9
151,39,14,4,4,12
151,137,40,26,41,25
151,144,35,21,47,9
151,158,42,29,20,50
151,172,24,14,15,20
151,193,3,1,3,2
152,0,16,6,12,8
152,7,38,18,9,46
152,21,18,7,11,12
152,47,37,16,26,25
152,159,24,11,14,18
152,180,13,5,5,12
152,194,21,10,18,13
153,41,14,11,14,10
153,104,13,9,15,7
153,125,4,3,4,1
153,139,39,23,22,38
153,146,34,20,32,21
153,160,35,21,28,27
154,30,37,35,34,36
154,84,24,27,33,14
154,91,33,31,18,46
154,105,14,14,15,14
154,147,15,16,25,8
154,196,30,31,21,40
154,196,8,10,5,11
155,71,11,12,12,12
155,99,7,7,5,8
155,106,4,5,2,4
155,120,22,42,47,17
155,204,26,55,62,19
156,4,9,19,19,9
156,32,13,35,26,22
156,37,19,52,31,40
156,107,20,57,28,49
157,66,3,17,12,9
157,94,1,6,3,5
157,101,2,15,7,8
157,108,4,23,11,16
157,129,2,12,6,10
157,150,16,60,48,28
158,6,9,10,10,6
158,116,6,4,2,6
158,144,8,7,12,2
159,14,20,21,15,28
159,21,29,27,26,31
159,54,20,22,18,25
159,166,14,17,6,24
159,180,6,7,3,9
160,1,4,8,12,3
160,29,10,14,10,13
160,132,33,31,34,30
160,167,11,15,10,16
160,174,2,3,2,4
161,35,12,25,20,15
161,119,11,20,23,6
162,3,20,12,14,18
162,71,41,29,31,37
162,92,6,6,4,8
162,134,8,7,2,14
162,190,9,8,8,8
162,197,2,1,1,2
163,4,29,26,34,21
163,58,7,5,0,11
163,114,21,16,5,28
163,121,12,12,10,13
163,156,2,1,0,4
163,177,39,39,46,31
164,26,13,26,21,16
164,45,13,27,20,19
164,73,20,57,45,32
164,199,7,5,2,11
165,46,22,50,46,26
165,123,8,18,15,11
165,151,10,24,22,14
166,131,15,44,32,30
166,173,13,39,38,16
166,194,15,48,38,29
166,201,15,47,52,12
167,125,1,0,1,0
167,188,6,10,8,6
168,105,25,44,48,22
168,203,20,39,45,14
169,43,17,32,17,33
169,99,17,33,24,25
170,11,16,28,27,20
170,86,21,39,27,34
170,114,13,19,5,25
170,121,5,1,1,5
170,149,1,1,2,0
171,5,27,42,35,33
171,33,5,10,6,8
171,206,25,35,52,9
172,46,7,11,10,8
172,116,12,17,9,19
172,137,8,14,14,10
172,151,32,49,50,31
172,165,0,0,0,0
172,179,7,13,4,16
172,193,16,25,25,19
172,207,25,38,49,13
173,7,24,8,8,25
173,117,23,5,21,10
173,131,50,21,36,37
173,145,1,1,0,2
173,145,52,21,29,45
173,152,1,0,0,1
173,152,53,21,53,20
174,69,36,29,39,26
174,188,21,14,19,15
175,112,11,12,11,9
175,126,19,25,22,22
175,168,36,39,27,48
175,196,39,40,27,53
176,127,12,8,17,3
176,183,15,12,18,10
176,197,20,16,15,19
176,204,20,15,27,8
177,32,14,5,10,9
177,114,29,13,7,33
177,149,26,11,24,12
177,163,20,9,15,14
177,184,0,0,0,0
178,52,12,9,10,11
178,157,1,1,0,2
178,185,5,4,4,5
178,206,23,18,35,6
179,6,13,27,21,21
179,20,22,33,26,30
179,74,24,35,33,26
179,88,14,27,12,30
179,95,2,9,5,7
179,109,20,30,22,28
179,151,8,21,22,8
180,14,26,31,21,36
181,41,21,17,19,17
181,83,33,31,45,18
181,104,13,11,15,9
181,125,14,11,14,11
182,30,18,14,16,14
182,49,11,12,18,5
182,196,22,22,14,28
182,203,16,12,22,8
183,50,5,4,3,4
183,120,44,19,46,17
183,127,0,2,2,0
183,169,38,18,20,36
183,204,18,11,22,6
184,25,46,23,30,39
184,128,43,20,41,20
184,135,1,0,0,0
184,149,43,22,42,24
184,156,30,14,12,32
184,198,22,9,16,16
185,26,36,37,38,34
185,33,29,30,24,35
185,66,30,32,41,19
185,143,0,0,0,0
185,178,38,39,39,38
185,192,19,19,21,18
186,6,44,21,31,33
186,20,8,5,6,8
186,34,34,13,20,23
186,116,31,9,12,26
186,137,11,6,10,8
186,158,0,0,0,0
186,172,53,26,31,48
186,179,23,9,9,22
187,0,40,32,51,19
187,117,2,2,2,2
187,124,46,34,47,33
187,173,0,1,1,0
187,201,33,27,48,10
188,15,7,6,3,12
188,146,10,7,9,6
188,146,25,20,26,21
188,167,25,18,16,29
189,9,40,19,21,40
189,84,38,18,41,14
189,126,50,24,33,41
189,182,18,6,13,12
190,43,7,7,6,10
190,113,44,30,36,37
190,120,26,20,38,11
190,204,45,31,59,17
191,18,47,20,23,43
191,32,6,0,2,4
191,149,40,14,37,19
191,205,20,4,17,8
192,150,3,4,4,2
192,164,34,23,14,44
192,185,39,27,33,33
192,199,10,8,4,13
192,206,0,0,0,0
193,27,34,24,29,28
194,47,35,27,30,28
194,124,11,3,8,6
194,131,11,2,10,5
195,132,2,2,1,3
195,139,20,44,23,41
195,160,0,0,0,0
195,181,21,44,33,32
195,202,4,18,14,9
196,23,3,6,5,7
196,42,12,26,20,17
196,161,26,50,23,53
196,182,7,24,17,14
196,189,14,29,28,14
197,106,32,42,32,42
197,141,11,11,13,12
197,155,23,37,21,39
197,169,23,36,20,39
198,25,14,13,9,19
198,32,34,29,33,29
198,72,7,6,7,6
198,184,43,36,53,26
199,87,9,19,16,11
199,108,7,19,11,15
199,115,30,51,28,53
199,192,24,39,38,26
200,60,9,20,7,20
200,109,33,45,37,41
200,172,0,7,3,5
201,0,46,9,37,16
201,14,42,8,19,32
201,28,32,6,14,21
201,124,57,14,41,30
201,131,9,1,8,4
201,180,57,18,39,36
202,55,17,9,18,7
202,111,3,1,1,3
202,160,33,14,25,24
202,160,48,16,33,32
202,174,12,8,12,8
203,23,9,3,6,7
203,42,8,3,6,5
203,49,26,8,21,10
203,91,12,3,5,8
203,112,49,15,21,39
203,154,58,21,43,37
203,189,2,0,0,2
203,189,55,18,49,24
204,64,15,4,7,12
204,134,18,4,6,19
204,134,8,1,1,8
204,141,20,5,14,12
204,148,19,4,16,9
205,25,32,19,20,32
205,100,23,15,25,12
205,149,2,2,2,2
205,191,19,13,22,8
206,26,53,9,33,30
206,33,29,6,14,21
206,59,17,4,1,20
206,115,53,10,20,44
206,192,15,4,11,8
206,199,51,9,23,36
207,20,40,12,25,28
207,109,28,7,14,21
207,123,57,17,43,31
207,130,23,6,13,18
207,137,61,20,50,31
207,151,43,13,35,22
207,186,22,5,21,7
