客场队名,主场队名,客场胜,客场负,主场胜,主场负,客场比分,主场比分
140,133,30,22,30,24,101,115
161,140,18,36,30,23,98,108
203,140,44,12,31,23,101,107
140,112,32,23,20,32,100,99
140,23,33,23,35,21,97,108
140,56,33,26,22,34,97,104
63,140,23,37,33,27,118,125
182,140,33,29,35,27,94,88
49,140,38,22,35,29,63,92
16,140,23,43,36,29,97,105
2,140,35,29,37,29,113,95
140,182,37,30,36,30,108,78
98,140,25,43,39,31,92,101
154,140,36,34,40,31,103,109
126,140,33,39,41,32,98,125
133,140,40,37,44,32,97,90
112,140,29,47,44,33,89,105
119,140,57,21,45,33,116,97
140,154,45,34,42,37,116,118
105,140,1,1,1,1,108,110
105,140,2,3,3,2,88,92
140,203,0,0,0,0,127,129
203,140,1,1,1,1,102,92
203,140,2,1,1,2,87,97
140,203,2,2,2,2,91,109
141,57,2,1,3,0,110,90
120,141,5,2,5,3,115,116
141,134,7,3,1,10,98,87
190,141,6,5,8,3,88,81
141,197,8,6,6,7,102,101
141,120,9,7,10,3,112,113
141,169,9,8,4,10,115,113
64,141,6,10,10,8,103,112
141,183,11,8,13,7,83,105
176,141,13,9,12,10,93,95
183,141,15,8,13,10,116,112
141,162,13,11,13,9,102,106
155,141,13,13,14,13,83,102
162,141,17,10,17,13,86,115
141,10,18,13,10,19,108,104
141,92,19,13,10,20,94,81
141,85,20,13,24,7,123,114
141,71,21,13,18,14,101,100
141,99,22,13,14,16,112,96
141,31,23,13,7,26,101,80
141,36,24,13,13,21,98,102
106,141,19,18,25,14,123,116
141,120,25,15,29,10,121,127
141,197,25,16,15,23,97,87
113,141,20,21,26,17,121,120
127,141,33,11,26,18,88,103
99,141,21,22,27,18,88,85
148,141,33,15,27,19,92,111
141,134,28,19,16,29,95,90
3,141,24,24,29,20,87,102
141,162,30,20,29,20,109,122
57,141,15,37,30,21,80,123
141,169,31,22,18,35,101,92
36,141,25,27,33,22,86,93
141,17,34,22,23,33,104,96
141,3,35,22,30,26,83,103
141,50,35,23,21,37,126,103
141,24,36,24,46,13,98,96
141,43,37,24,20,40,108,88
71,141,26,33,38,24,97,111
162,141,36,25,39,24,107,113
176,141,38,26,40,24,85,108
141,148,41,24,45,20,98,111
141,127,41,26,43,23,113,112
92,141,19,48,42,26,89,103
31,141,13,55,43,26,110,115
190,141,43,28,44,27,93,100
141,176,45,28,44,30,122,120
141,204,46,28,58,16,90,111
169,141,27,48,46,29,69,102
141,155,48,30,25,53,112,95
141,127,49,30,52,28,117,119
141,106,50,31,36,45,116,112
141,148,0,0,0,0,109,105
141,148,1,0,0,1,98,138
148,141,1,1,1,1,98,96
141,148,2,2,2,2,103,113
148,141,3,2,2,3,99,100
141,148,3,3,3,3,121,126
149,142,3,1,3,0,104,121
142,184,4,0,6,0,98,87
205,142,3,3,5,1,113,100
135,142,5,7,8,2,88,101
142,86,10,2,8,6,114,97
142,18,13,2,3,13,104,93
93,142,7,12,14,2,97,98
198,142,8,8,15,2,85,112
142,114,17,2,4,15,102,86
184,142,16,4,18,2,93,105
142,177,19,2,17,7,105,98
142,198,20,2,11,11,128,122
170,142,12,15,22,3,108,128
142,149,23,4,19,10,86,100
65,142,24,8,25,5,105,126
121,142,17,17,26,5,91,117
142,135,29,5,13,25,116,105
107,142,18,22,32,6,79,122
184,142,29,13,33,6,113,126
4,142,29,17,36,6,113,111
142,135,36,7,16,30,100,110
163,142,28,20,36,8,87,106
142,170,37,8,17,29,121,96
177,142,33,17,38,8,114,128
142,51,39,9,10,40,106,92
142,58,40,9,12,40,89,84
142,114,41,9,11,41,94,91
205,142,34,20,42,9,99,110
142,25,43,9,22,33,98,104
142,100,43,10,33,23,114,107
142,65,44,11,37,20,113,89
142,37,46,11,24,33,108,110
32,142,32,28,46,12,93,102
149,142,40,22,48,12,98,106
142,163,49,12,33,31,98,80
142,107,51,12,24,41,103,114
51,142,13,51,51,13,94,125
156,142,17,48,52,13,105,108
72,142,53,14,53,13,95,114
198,142,37,31,54,13,96,112
135,142,31,37,55,13,91,106
100,142,40,30,56,13,76,107
142,128,57,13,44,24,122,108
142,149,60,13,49,25,110,106
163,142,38,37,61,13,106,107
142,177,62,13,46,30,123,110
142,198,63,14,41,35,100,103
128,142,51,27,63,15,105,116
114,142,16,63,64,15,101,110
198,142,0,0,0,0,99,106
198,142,0,1,1,0,87,97
191,142,0,0,0,0,86,101
191,142,0,1,1,0,97,90
142,191,1,1,1,1,89,99
142,191,1,2,2,1,101,84
191,142,2,2,2,2,78,98
142,191,3,2,2,3,108,95
184,142,0,0,0,0,106,110
184,142,0,1,1,0,98,99
142,184,2,0,0,2,115,80
142,184,3,0,0,3,115,128
184,142,1,3,3,1,90,104
11,142,0,1,1,0,95,93
142,11,1,1,1,1,91,96
142,11,1,2,2,1,103,82
142,11,3,2,2,3,105,97
199,143,0,0,0,0,95,111
143,185,1,0,0,1,112,92
143,199,2,0,0,2,134,120
192,143,2,1,3,0,69,119
108,143,2,3,5,0,104,119
143,171,6,0,1,5,103,94
143,192,8,0,3,5,100,84
143,115,9,0,4,3,129,116
38,143,1,8,10,0,99,107
66,143,7,4,11,0,110,115
143,150,12,0,6,4,124,117
143,108,14,0,6,7,118,105
157,143,2,11,15,0,77,111
171,143,6,11,17,0,101,120
143,66,20,0,12,8,112,109
143,38,21,0,5,14,114,98
143,26,22,0,12,7,131,123
143,45,23,0,13,9,124,119
143,33,24,0,9,15,95,108
33,143,10,17,25,1,112,121
12,143,19,7,27,1,83,89
143,178,29,1,18,13,91,114
143,185,29,2,16,17,114,110
108,143,12,21,30,2,108,111
143,157,32,2,8,27,109,88
143,129,33,2,15,23,128,108
143,171,34,2,15,21,128,116
87,143,22,15,35,2,103,111
143,108,36,2,14,24,110,112
143,12,37,4,28,10,132,98
143,5,38,4,24,16,125,94
26,143,23,19,39,4,110,122
206,143,38,6,40,4,90,120
143,59,42,4,7,40,108,105
143,52,43,4,23,26,116,95
185,143,27,26,46,4,110,123
143,129,48,4,27,27,105,137
143,150,48,5,36,18,115,112
143,87,50,5,32,24,118,112
143,94,51,5,25,30,130,114
143,122,52,5,41,17,121,118
122,143,42,19,54,5,106,121
143,157,55,5,12,51,95,112
94,143,27,34,55,6,113,119
136,143,29,34,56,6,94,115
129,143,34,31,57,6,112,128
164,143,17,48,58,6,116,123
199,143,24,41,59,6,107,125
52,143,28,40,60,6,85,121
143,178,61,6,34,34,130,112
143,115,62,7,22,47,109,104
101,143,36,37,66,7,94,102
143,136,67,7,37,37,103,96
45,143,43,32,68,7,109,106
115,143,25,52,69,8,124,117
206,143,65,12,69,9,101,112
143,192,70,9,42,37,100,99
143,185,2,0,0,2,96,97
143,185,2,1,1,2,121,94
185,143,1,3,3,1,81,114
129,143,0,0,0,0,106,118
129,143,0,1,1,0,99,110
129,143,1,3,3,1,121,125
122,143,0,0,0,0,108,102
122,143,1,0,0,1,91,118
143,122,1,2,2,1,94,118
143,122,2,3,3,2,108,101
122,143,3,3,3,3,88,96
143,12,2,1,1,2,108,97
12,143,1,3,3,1,112,97
143,12,3,2,2,3,101,115
12,143,3,3,3,3,93,89
207,144,0,0,0,0,129,100
144,200,0,1,0,1,122,114
144,165,1,1,0,2,106,100
144,130,2,1,2,1,127,104
123,144,4,0,3,1,96,122
144,158,4,1,2,3,97,117
200,144,0,6,4,2,106,116
179,144,2,5,5,2,95,116
144,109,6,2,3,4,125,101
165,144,3,7,7,2,120,133
144,67,8,2,7,3,127,121
144,27,11,2,7,7,120,83
144,158,13,2,8,8,109,85
186,144,11,7,16,2,132,127
27,144,10,10,17,3,106,142
144,151,18,3,16,6,115,98
144,137,19,3,14,9,106,99
144,193,20,3,16,8,89,110
144,116,20,4,6,17,116,108
144,200,21,4,8,17,113,109
53,144,14,11,22,4,90,103
130,144,13,15,23,4,90,135
144,39,25,4,7,20,117,101
144,13,27,4,22,6,108,109
67,144,22,8,27,5,111,121
193,144,22,16,31,5,128,119
13,144,29,10,34,6,91,126
144,186,36,6,33,12,125,108
144,95,37,6,18,27,118,98
144,88,38,6,14,30,102,105
151,144,30,17,39,7,98,144
144,130,40,7,21,27,113,111
6,144,26,26,43,8,92,123
144,123,45,8,31,23,130,114
39,144,9,48,48,9,95,112
144,60,49,9,22,36,119,108
144,102,50,9,34,23,108,112
144,53,50,11,25,37,112,105
144,116,52,12,26,37,102,103
144,207,52,13,50,14,85,107
60,144,24,42,52,14,104,106
144,123,55,14,40,29,111,95
172,144,27,44,57,14,100,114
193,144,40,32,58,14,94,106
144,186,59,14,51,22,113,106
186,144,51,24,61,14,98,107
102,144,46,30,62,14,115,139
144,165,64,14,22,56,120,111
200,144,33,46,65,14,101,123
137,144,49,31,66,14,105,99
158,144,26,55,66,15,94,109
130,144,0,0,0,0,109,121
144,130,2,0,0,2,119,113
137,144,0,0,0,0,94,106
137,144,0,1,1,0,104,115
144,137,3,0,0,3,121,95
207,144,0,0,0,0,111,113
13,144,0,0,0,0,91,113
13,144,0,1,1,0,113,132
144,13,2,0,0,2,118,113
82,54,0,1,0,0,97,87
89,82,1,0,1,1,70,96
131,82,3,3,5,2,116,114
40,82,6,2,5,3,112,107
61,82,2,7,5,4,100,109
21,82,5,6,8,5,93,77
82,89,8,6,9,4,95,104
54,82,3,12,8,7,90,99
14,82,6,12,10,8,72,97
82,7,11,8,7,10,118,90
68,82,13,7,12,8,77,89
82,28,13,8,7,12,88,78
82,131,14,8,16,6,111,98
82,166,16,8,5,15,104,83
194,82,14,9,17,8,84,96
7,82,7,17,18,8,95,101
82,96,20,8,6,18,95,94
173,82,21,5,21,8,98,96
82,159,21,9,13,14,95,83
82,152,22,9,21,8,96,80
47,82,18,12,23,9,98,106
138,82,13,19,25,9,107,114
82,28,28,9,13,20,101,95
82,103,30,10,21,16,102,130
82,0,30,11,26,13,96,99
68,82,27,15,30,12,93,89
82,47,31,13,23,21,88,93
82,117,32,14,30,16,108,103
7,82,8,39,33,14,90,117
82,89,34,14,31,18,104,100
145,82,19,30,36,14,79,97
82,14,38,14,20,33,106,92
82,40,39,14,38,14,82,85
82,21,39,15,24,28,110,103
166,82,13,40,41,15,97,117
82,0,42,15,38,17,89,93
47,82,29,27,43,16,91,86
89,82,39,22,43,17,99,96
0,82,42,18,43,19,87,86
124,82,36,27,43,20,105,96
152,82,46,19,43,21,88,94
187,82,36,30,44,21,85,118
201,82,54,12,45,21,80,110
82,68,46,22,39,29,106,85
54,82,37,34,49,22,99,111
180,82,38,34,50,22,119,125
82,7,51,22,14,58,90,102
82,110,52,23,17,58,111,92
28,82,31,46,54,23,90,85
40,82,55,24,55,24,77,100
54,82,0,0,0,0,89,97
54,82,0,1,1,0,73,94
40,82,0,0,0,0,90,99
82,40,2,1,1,2,98,90
40,82,1,3,3,1,87,97
82,0,0,0,0,0,82,103
82,0,0,1,1,0,85,75
0,82,1,1,1,1,85,96
82,0,3,1,1,3,83,80
173,82,0,0,0,0,84,92
173,82,0,1,1,0,95,93
82,173,2,1,1,2,83,86
82,173,2,2,2,2,103,112
83,174,0,0,0,0,105,94
41,83,0,1,1,0,107,115
83,111,3,0,0,2,103,101
69,83,3,1,5,0,100,92
22,83,4,1,5,1,83,118
83,69,6,1,4,2,116,109
83,139,8,1,2,6,106,111
83,146,8,2,4,3,89,95
83,104,8,3,7,4,104,117
202,83,9,4,8,4,98,120
153,83,10,5,9,4,87,98
55,83,11,4,10,4,92,113
8,83,6,9,11,5,85,92
83,15,12,5,4,14,101,98
48,83,7,11,13,5,89,99
1,83,17,4,14,5,93,97
195,83,4,16,15,5,95,109
83,55,16,6,16,6,99,79
62,83,8,16,17,6,89,95
83,90,19,6,15,10,89,102
83,69,20,7,18,9,107,87
83,8,23,7,11,16,111,87
167,83,10,21,25,7,108,120
83,132,28,7,16,18,98,99
83,153,28,8,22,14,83,93
69,83,23,15,29,9,86,89
83,90,31,9,27,15,98,104
83,1,31,10,35,9,102,106
83,55,31,11,25,18,84,78
90,83,29,16,32,11,81,91
160,83,23,22,33,11,95,99
83,15,34,11,16,30,88,73
83,22,35,12,28,19,90,105
174,83,29,22,35,13,85,106
83,62,36,13,17,34,113,101
15,83,21,34,39,15,75,98
41,83,32,24,40,15,115,107
83,48,41,17,31,28,93,85
62,83,22,40,43,17,72,96
97,83,16,46,45,17,86,84
83,41,46,18,37,27,66,78
48,83,0,0,0,0,67,100
48,83,0,1,1,0,94,104
83,48,2,0,0,2,87,70
83,48,3,0,0,3,87,89
83,22,1,1,1,1,75,94
22,83,2,2,2,2,83,115
41,83,0,0,0,0,79,93
83,41,2,0,0,2,91,101
83,41,2,3,3,2,98,79
83,118,0,0,0,0,94,105
118,83,1,1,1,1,85,91
35,84,1,1,3,1,73,103
84,189,5,1,4,1,86,104
84,182,5,2,3,3,113,110
84,147,6,2,5,2,100,107
84,105,6,3,4,4,98,93
30,84,6,3,8,3,106,113
9,84,3,9,9,3,108,110
203,84,13,3,10,3,100,105
84,98,12,3,1,13,101,105
49,84,13,4,12,4,112,92
70,84,12,5,13,5,92,101
119,84,21,5,18,6,97,103
84,16,20,6,9,22,99,109
84,91,20,8,12,18,112,110
175,84,13,19,21,8,109,119
2,84,17,13,22,8,96,89
84,126,23,10,19,15,90,92
84,140,24,12,23,13,92,75
16,84,16,26,27,12,88,110
84,35,28,13,27,18,105,85
84,23,29,13,27,19,89,102
84,63,29,14,17,30,100,85
182,84,27,23,31,14,108,114
147,84,35,16,32,14,89,111
126,84,25,26,34,14,104,117
84,119,35,14,39,13,110,100
84,2,37,14,31,22,86,67
84,56,38,14,22,30,114,90
168,84,19,38,40,14,129,141
23,84,39,23,46,14,91,105
70,84,34,28,47,14,81,98
84,30,49,14,32,31,107,94
84,63,50,14,26,40,108,91
84,42,51,14,36,29,105,103
84,91,55,14,18,52,108,94
84,2,56,14,38,31,97,101
84,196,56,15,25,47,108,89
84,203,57,15,55,17,88,86
49,84,46,26,58,15,102,90
56,84,31,44,59,16,87,106
30,84,37,39,60,16,83,94
84,98,61,16,29,49,103,98
2,84,43,36,63,16,93,105
84,9,64,16,24,56,96,95
91,84,20,61,65,16,93,105
30,84,0,0,0,0,87,110
30,84,0,1,1,0,86,98
84,30,2,0,0,2,104,91
84,30,3,0,0,3,88,77
2,84,0,0,0,0,93,86
84,2,1,1,1,1,104,94
2,84,1,3,3,1,91,94
23,84,0,0,0,0,102,103
23,84,0,1,1,0,97,93
84,23,1,1,1,1,114,96
84,23,2,1,1,2,92,99
23,84,3,3,3,3,76,99
203,84,0,0,0,0,92,88
203,84,1,0,0,1,84,103
84,203,1,2,2,1,109,93
84,203,2,2,2,2,104,114
203,84,3,2,2,3,100,103
203,84,3,3,3,3,88,95
3,85,0,0,0,0,95,107
85,57,1,0,0,0,110,114
85,36,1,1,0,1,100,101
99,85,0,2,1,2,93,103
85,64,2,2,2,1,104,95
148,85,3,2,3,2,97,102
43,85,2,4,4,2,111,110
31,85,2,3,4,3,95,118
176,85,5,3,5,3,104,110
71,85,6,4,7,3,88,104
162,85,7,6,10,3,92,107
85,10,11,3,4,10,95,84
17,85,7,10,14,3,107,97
85,3,14,4,7,9,87,107
85,113,14,5,9,10,103,82
85,17,15,5,10,10,110,95
85,24,16,5,18,3,84,90
10,85,9,13,16,6,107,114
134,85,6,20,17,6,94,117
24,85,20,4,18,6,94,97
169,85,7,17,19,6,103,122
71,85,15,12,20,6,119,121
85,155,21,6,13,15,101,95
85,127,22,7,24,5,108,107
85,106,23,7,14,15,97,94
141,85,20,13,24,7,123,114
85,92,24,8,10,22,110,94
85,50,27,8,12,22,92,102
85,99,27,10,17,19,97,114
85,57,27,11,13,25,101,86
85,71,29,11,20,19,114,121
43,85,14,28,29,12,86,93
155,85,16,26,30,12,102,109
204,85,33,10,31,12,101,113
120,85,36,10,32,12,112,95
85,148,34,13,34,17,116,112
85,134,35,13,16,33,89,94
85,162,35,14,30,20,103,97
85,120,38,14,43,12,103,81
3,85,29,25,39,14,79,93
50,85,21,36,40,14,82,108
85,183,43,14,40,19,103,106
85,204,43,15,44,16,87,111
99,85,33,29,43,17,90,99
36,85,32,30,44,17,96,95
106,85,28,36,44,18,111,107
183,85,44,21,44,19,104,113
85,10,45,19,26,41,100,96
85,197,47,20,28,40,95,105
85,24,48,21,51,20,83,84
85,17,48,22,26,45,110,78
36,85,42,34,53,23,88,87
85,190,53,24,45,32,102,107
24,85,54,25,53,25,86,98
85,71,54,25,36,43,85,98
36,85,0,0,0,0,86,107
85,36,2,1,1,2,102,96
36,85,1,3,3,1,94,96
24,85,1,1,1,1,87,99
24,85,1,2,2,1,90,102
24,85,2,3,3,2,92,117
85,204,0,0,0,0,95,110
85,204,0,1,1,0,98,96
204,85,1,1,1,1,111,92
85,204,1,3,3,1,87,104
86,58,1,0,0,2,114,96
65,86,2,0,2,0,102,107
184,86,4,0,3,0,108,91
114,86,2,3,3,2,92,102
86,177,4,2,4,2,105,96
25,86,2,6,5,2,81,75
86,72,5,3,4,3,103,114
149,86,6,4,6,5,110,93
86,93,6,6,6,8,99,92
86,100,9,7,10,5,86,107
72,86,10,6,9,8,112,102
86,32,9,9,10,10,85,109
86,163,9,11,12,10,103,97
86,107,10,11,9,12,82,102
4,86,14,8,11,12,93,75
86,37,11,13,10,12,95,91
135,86,6,19,12,13,105,87
100,86,18,6,12,14,105,103
11,86,17,10,13,16,91,101
191,86,21,8,14,16,103,95
93,86,12,21,14,17,102,101
86,25,14,18,11,21,95,106
37,86,16,16,14,20,84,88
86,156,16,21,12,26,78,75
86,142,17,21,30,5,89,104
86,170,17,22,16,22,95,83
86,4,19,24,29,16,96,84
86,44,20,26,16,29,83,75
51,86,10,41,21,29,95,109
86,11,22,29,32,21,93,113
58,86,12,43,23,31,108,119
86,93,24,31,19,39,93,90
72,86,46,12,25,32,93,91
163,86,31,29,25,33,98,115
156,86,16,43,26,33,94,100
86,100,27,33,34,27,97,99
44,86,25,36,28,34,100,90
37,86,25,37,28,35,98,104
86,65,29,35,38,26,92,102
11,86,43,25,29,36,92,106
128,86,44,21,30,36,104,108
86,32,32,37,34,36,88,89
86,44,32,38,31,39,93,86
18,86,28,44,33,39,102,109
86,11,34,40,48,27,88,114
86,25,34,42,33,43,89,112
4,86,46,32,35,43,89,78
65,86,47,32,35,44,107,104
93,86,25,55,35,45,93,100
86,58,36,45,18,63,105,101
185,87,0,2,1,1,89,109
73,87,3,1,2,1,98,92
87,115,2,2,2,1,96,84
66,87,5,1,3,3,76,96
136,87,4,3,5,3,91,92
115,87,4,6,6,3,103,91
171,87,4,8,6,4,109,116
52,87,8,6,8,4,78,95
87,19,9,4,7,7,81,104
87,26,12,8,12,8,83,96
192,87,13,11,12,9,97,100
87,73,13,9,14,11,100,88
66,87,16,11,15,9,108,94
129,87,11,17,15,10,109,116
87,94,17,11,17,12,108,101
38,87,8,22,18,11,111,105
87,192,18,12,17,16,90,99
178,87,19,13,18,13,82,106
87,101,19,13,15,16,97,75
26,87,19,14,20,13,100,103
87,164,21,14,13,25,103,95
87,136,22,14,15,20,83,98
87,108,22,17,15,24,98,95
87,122,23,17,29,12,74,99
33,87,18,25,23,18,91,79
87,101,23,19,19,21,87,106
87,66,23,20,27,15,81,101
87,5,23,21,25,18,89,84
87,38,24,21,12,33,102,98
87,33,25,21,20,28,107,103
87,185,27,21,25,25,102,115
87,178,27,22,28,23,93,90
206,87,43,8,29,23,119,101
87,73,29,24,31,24,115,111
26,87,30,25,31,24,93,101
143,87,50,5,32,24,118,112
87,52,32,26,25,35,98,81
5,87,30,28,33,26,111,129
164,87,15,45,34,26,92,108
87,59,35,26,8,53,112,102
87,33,37,26,26,38,108,114
87,5,37,27,32,31,118,96
87,199,40,29,26,43,113,99
38,87,21,51,42,30,99,110
87,171,43,31,30,45,112,106
87,129,44,31,40,36,93,110
5,87,39,39,45,32,98,106
87,94,46,32,33,45,109,112
94,87,34,45,46,33,96,118
87,19,47,33,43,37,99,93
87,66,0,0,0,0,102,96
66,87,1,1,1,1,95,91
87,66,2,2,2,2,91,99
66,87,3,2,2,3,91,103
88,95,0,0,0,0,108,96
207,88,3,0,1,1,106,99
172,88,2,2,1,2,96,108
88,67,2,2,3,1,87,96
88,123,2,3,5,1,85,97
6,88,4,4,2,4,98,95
88,207,2,6,7,3,90,94
74,88,7,2,2,7,93,90
34,88,5,5,2,8,73,96
88,102,3,8,3,8,114,111
88,60,4,8,3,10,94,101
88,193,4,10,10,5,90,81
46,88,9,7,5,11,112,104
88,137,6,12,11,8,111,110
88,130,7,12,10,10,92,99
88,6,7,16,12,10,100,105
102,88,9,13,7,17,101,112
46,88,14,12,9,18,105,95
88,200,10,20,10,21,87,91
123,88,19,12,10,21,106,94
88,46,10,23,19,14,114,117
88,158,11,26,13,26,100,127
88,151,11,27,25,14,86,98
88,144,11,28,32,6,95,107
34,88,20,22,13,30,97,109
144,88,38,6,14,30,102,105
74,88,28,20,19,30,93,116
60,88,18,31,20,30,102,125
88,34,22,30,22,28,106,88
88,39,23,30,9,44,108,99
88,60,24,30,19,34,109,117
95,88,20,36,24,31,116,107
88,186,24,32,40,17,117,109
88,74,25,32,32,24,108,90
27,88,30,28,26,32,95,113
88,179,27,32,23,35,89,96
60,88,22,37,27,33,98,125
88,95,28,33,22,39,99,110
13,88,42,18,28,34,92,120
67,88,38,27,31,34,89,104
88,27,32,34,33,32,98,102
200,88,27,40,32,35,112,120
116,88,28,39,33,35,105,123
130,88,31,37,34,35,115,104
165,88,22,48,34,36,97,112
88,46,35,37,47,26,108,112
88,67,38,40,48,31,94,96
88,102,38,41,48,31,106,103
13,88,51,29,39,41,121,124
102,88,49,32,40,41,102,110
173,103,2,1,2,1,102,101
103,173,3,2,3,1,103,92
40,173,6,1,3,2,87,89
173,187,4,2,4,4,106,91
54,173,2,6,5,2,90,99
194,173,8,0,6,2,95,98
173,68,7,4,8,4,98,93
14,173,5,8,8,4,84,88
173,117,9,4,10,4,111,103
82,173,9,7,11,4,95,106
180,173,5,11,12,4,91,101
110,173,4,13,13,4,86,100
173,131,14,4,15,5,93,81
131,173,17,7,18,4,97,103
28,173,9,13,19,4,103,99
124,173,12,13,19,5,98,103
159,173,12,12,20,5,91,106
173,82,21,5,21,8,98,96
201,173,27,4,24,6,99,93
173,28,24,7,12,18,87,99
124,173,18,16,25,8,81,84
117,173,23,13,26,8,99,95
89,173,24,12,26,9,117,107
173,21,26,10,15,20,89,102
173,201,26,11,33,6,89,101
173,187,26,12,18,21,70,89
173,0,27,14,28,14,77,82
145,173,17,26,28,15,105,112
180,173,22,25,29,15,106,111
173,47,32,15,25,22,113,97
173,40,33,15,37,11,101,97
7,173,8,43,35,15,96,99
173,166,36,15,12,36,102,100
173,159,39,16,27,26,112,106
131,173,31,26,40,16,99,118
173,96,41,16,15,42,105,99
173,61,42,16,16,43,114,96
173,54,43,16,30,29,101,93
21,173,27,33,44,16,108,116
173,194,46,17,37,29,92,93
152,173,46,20,47,18,96,91
173,124,47,19,37,29,101,104
173,138,47,20,30,37,112,106
138,173,30,39,48,21,73,101
110,173,17,54,49,21,96,104
173,159,51,21,36,35,91,83
173,138,53,22,32,44,92,99
173,124,53,23,44,32,96,104
145,173,31,48,53,25,96,107
159,173,38,41,54,25,90,115
173,180,55,25,42,38,98,91
124,173,0,1,1,0,89,101
173,124,2,1,1,2,82,84
124,173,2,2,2,2,82,93
152,173,0,2,2,0,92,98
152,173,0,3,3,0,86,122
117,173,0,0,0,0,112,121
117,173,0,1,1,0,106,100
173,117,2,1,1,2,112,105
173,82,0,0,0,0,84,92
82,173,1,1,1,1,88,86
82,173,2,1,1,2,83,86
173,82,3,2,2,3,105,95
104,174,0,0,0,1,115,93
174,118,0,2,3,0,102,104
62,174,1,1,0,3,86,99
174,111,1,3,0,3,82,99
118,174,5,0,1,4,87,100
174,202,3,4,4,2,71,93
